code	type	faculty	teacher	place	units	url	people	A	B	C	D	F	other	mean
10806042-034	学部	"△卒業研究Ⅱ-34
Graduation Study II-34"	大塚　幸生	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042034.html								
10806042-035	学部	"△卒業研究Ⅱ-35
Graduation Study II-35"	玉谷　充	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042035.html								
10806042-036	学部	"△卒業研究Ⅱ-36
Graduation Study II-36"	柳沢　英輔	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042036.html								
10806042-037	学部	"△卒業研究Ⅱ-37
Graduation Study II-37"	原　尚幸	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042037.html								
10806042-038	学部	"△卒業研究Ⅱ-38
Graduation Study II-38"	河瀬　彰宏	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042038.html								
10806042-039	学部	"△卒業研究Ⅱ-39
Graduation Study II-39"	中安　真理	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042039.html								
10806042-040	学部	"△卒業研究Ⅱ-40
Graduation Study II-40"	田中　雄	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042040.html								
10806051	学部	"△文化情報学演習１
Culture and Information Science Practicum 1"	"鋤柄　俊夫
星　英仁
伊藤　紀子
福田　智子
矢野　環
大浦　真
柳沢　英輔
山内　信幸
田口　哲也
沈　力
中安　真理
田中　雄"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806051000.html								
10806061	学部	"△文化情報学演習２
Culture and Information Science Practicum 2"	"金　明哲
阪田　真己子
下嶋　篤
杉尾　武志
鄭　躍軍
松田　佳尚
石岡　学
大塚　幸生
河瀬　彰宏
浦部　治一郎
藤田　成隆
濱田　大佐"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806061000.html								
10806062	学部	"○文化情報学演習３
Culture and Information Science Practicum 3"	"阪田　真己子
宿久　洋
竹野　倫彰
玉谷　充
原　尚幸
河瀬　彰宏"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806062000.html	338.0	13.6	14.2	16.9	30.8	24.6	0.0	1.6
